shortcode,kind,url,status,attempts,post_like_count,repost_count,captured_comments,displayed_comment_count,target_comment_count,target_comment_source,capture_rate_estimate,unique_commenters,total_comment_likes,mean_comment_likes,median_comment_likes,mean_text_length,median_text_length,posted_at,stop_reason,exhaustion_reason,effective_concurrency,worker_id,active_hydrated_at,active_hydrate_ms,hydrate_visibility_state,hydrate_comments_found,hydrate_target_comment_count,active_scrape_started_at,active_scrape_finished_at,active_scroll_rounds,active_visibility_states,background_scroll_visibility_states,caption_preview
DZdh9E2RNif,reel,https://www.instagram.com/thedogist/reel/DZdh9E2RNif/,partial,1,55000,241,214,273,273,og_description,0.7839,201,3756,17.55,1,48.45,29,2026-06-11T22:08:27.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-12,2026-06-19T23:29:09.175Z,11482,visible,13,273,2026-06-19T23:29:09.176Z,2026-06-19T23:32:03.386Z,74,visible,visible,"thedogistVerified Edited•1wBubba, Golden Retriever (1 y/o), Greenwich & Bank St., New York, NY • “He’s incredibly clingy and very silly. When I’m about to leave"
DZa7-VjxNrP,reel,https://www.instagram.com/thedogist/reel/DZa7-VjxNrP/,partial_unknown_target,1,0,,48,,,,,45,214,4.46,1,29.67,25,2026-06-10T21:45:09.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-13,2026-06-19T23:32:08.889Z,5482,visible,15,,2026-06-19T23:32:08.890Z,2026-06-19T23:32:56.294Z,20,visible,visible,We went on a Dogist Bar Crawl with London the Great Pyrenees mix! Things got a little crazy after she had her second bowl of water and Elsa got up on the table.
DZYW8xjEWbq,p,https://www.instagram.com/thedogist/p/DZYW8xjEWbq/,partial,1,29000,27,108,115,115,og_description,0.9391,107,303,2.81,1,30.23,21,2026-06-09T21:41:54.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-14,2026-06-19T23:33:01.811Z,5490,visible,14,115,2026-06-19T23:33:01.812Z,2026-06-19T23:34:23.845Z,37,visible,visible,"Holly, Labrador Retriever (1.5 y/o), Main St. & Jamestown Ave., Philadelphia, PA • “She’s obsessed with other dogs. She stalks – she thinks they can’t see her. "
DZVd_QlodIr,reel,https://www.instagram.com/thedogist/reel/DZVd_QlodIr/,complete,1,0,,93,,,,,90,705,7.58,1,47.08,27,2026-06-08T18:46:04.000Z,comments_exhausted_no_new_rounds,unknown_target_exhausted_min_50,20,worker-15,2026-06-19T23:34:29.344Z,5484,visible,15,,2026-06-19T23:34:29.345Z,2026-06-19T23:35:44.372Z,33,visible,visible,"ADOPTABLE! Yesterday I stopped by one of NYC’s largest adoption events! Here are some of the incredible adoptable dogs I got to meet, along with the incredible "
DZP9fjPRocs,reel,https://www.instagram.com/thedogist/reel/DZP9fjPRocs/,partial,1,20000,51,78,86,86,og_description,0.907,76,680,8.72,4,35.35,20.5,2026-06-06T15:25:45.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-16,2026-06-19T23:35:49.867Z,5474,visible,16,86,2026-06-19T23:35:49.867Z,2026-06-19T23:36:52.367Z,28,visible,visible,"Remi, mix (5 y/o), Theodore Roosevelt Park, New York, NY • “She was found as a stray. I was living in Virginia at the time. I went to @homewardtrailsrescue and "
DZOCdKEhaDv,reel,https://www.instagram.com/thedogist/reel/DZOCdKEhaDv/,partial,1,29000,65,127,146,146,og_description,0.8699,122,965,7.6,3,35.39,25,2026-06-05T23:14:21.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-17,2026-06-19T23:36:57.881Z,5498,visible,15,146,2026-06-19T23:36:57.882Z,2026-06-19T23:38:42.120Z,42,visible,visible,"thedogistVerified Edited•1wLily, Pit Bull mix (5 y/o), Gramercy Park, New York, NY • “She loves people; she’s a little selective with dogs. Unfortunately we los"
DZNHogCxDr9,reel,https://www.instagram.com/thedogist/reel/DZNHogCxDr9/,complete,1,0,,258,,,,,246,1079,4.18,1,68.43,49,2026-06-05T12:58:20.000Z,comments_exhausted_no_new_rounds,unknown_target_exhausted_min_50,20,worker-18,2026-06-19T23:38:48.826Z,6685,visible,15,,2026-06-19T23:38:48.826Z,2026-06-19T23:41:57.990Z,86,visible,visible,At least Elsa doesn’t reject all healthy foods… Any ideas where I can find an ube (purple yam) in NYC??
DZI1tQvIMGz,reel,https://www.instagram.com/thedogist/reel/DZI1tQvIMGz/,partial,1,53000,,301,356,356,og_description,0.8455,283,4430,14.72,1,34.92,23,2026-06-03T21:03:27.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-19,2026-06-19T23:42:05.902Z,7895,visible,15,356,2026-06-19T23:42:05.903Z,2026-06-19T23:45:39.232Z,93,visible,visible,"Rigatoni, Golden Retriever (3 m/o), Theodore Roosevelt Park, New York, NY • “When I’m working from home, he just sleeps under my feet, but when he gets excited "
DZGUirTR4cX,reel,https://www.instagram.com/thedogist/reel/DZGUirTR4cX/,partial,1,47000,,238,260,260,og_description,0.9154,234,1474,6.19,1,30.88,18,2026-06-02T21:35:36.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-20,2026-06-19T23:45:45.940Z,6690,visible,16,260,2026-06-19T23:45:45.941Z,2026-06-19T23:48:22.161Z,74,visible,visible,"Moody, mix (6 m/o), Court & Congress St., Brooklyn, NY • “He’s always in a mood. His name was Domino, but I changed it; because of his two faces. He’s normally "
DZDqSgRIFGB,reel,https://www.instagram.com/thedogist/reel/DZDqSgRIFGB/,partial,1,49000,,147,166,166,og_description,0.8855,142,1217,8.28,0,37.77,24,2026-06-01T20:47:48.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-01,2026-06-19T23:48:32.821Z,5501,visible,16,166,2026-06-19T23:48:32.822Z,2026-06-19T23:50:23.962Z,51,visible,visible,"Brooks, Golden Retriever (4 y/o), King Street, Charleston, SC • “I think more people know Brooks than know me. We live in an old historic home. He used to look "
DZBhxuSEby7,p,https://www.instagram.com/thedogist/p/DZBhxuSEby7/,partial,1,34000,35,115,117,117,og_description,0.9829,109,169,1.47,1,34.3,21,2026-06-01T00:54:00.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-02,2026-06-19T23:50:29.439Z,5460,visible,16,117,2026-06-19T23:50:29.440Z,2026-06-19T23:51:40.472Z,33,visible,visible,"May = Elsa snuggles, 1000 Dogists in Central Park, baseball puppers, rescued Beagles, Stanley Pup, Shorty Awards, Sam ❤️, Charleston, Pickleball, and a few othe"
DY-raT5kShI,p,https://www.instagram.com/thedogist/p/DY-raT5kShI/,partial,1,47000,84,198,216,216,og_description,0.9167,191,509,2.57,0,31.05,20,2026-05-30T22:20:26.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-03,2026-06-19T23:51:48.348Z,7864,visible,16,216,2026-06-19T23:51:48.348Z,2026-06-19T23:53:57.173Z,61,visible,visible,"Togo, Siberian Husky (3 m/o), Goodings Plaza, Orlando, FL • “His dad’s still in Colombia.”"
DY7_nkWIudG,reel,https://www.instagram.com/thedogist/reel/DY7_nkWIudG/,partial,1,64000,,257,270,270,og_description,0.9519,252,1924,7.49,0,36.73,23,2026-05-29T21:19:40.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-04,2026-06-19T23:54:05.064Z,7873,visible,16,270,2026-06-19T23:54:05.064Z,2026-06-19T23:56:52.133Z,78,visible,visible,"Dottie, Dalmatian (4 y/o), 80th & Amsterdam Ave., New York, NY • “She’s like a Golden Retriever in a Dalmatian body. Very goofy, very loyal, very snuggly, very "
DY5ialOxAJy,reel,https://www.instagram.com/thedogist/reel/DY5ialOxAJy/,partial,1,15000,,206,217,217,og_description,0.9493,202,203,0.99,0,59.2,47,2026-05-28T22:26:08.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-05,2026-06-19T23:56:58.831Z,6673,visible,16,217,2026-06-19T23:56:58.832Z,2026-06-19T23:59:21.896Z,65,visible,visible,"I pet 27 dogs in 48 hours in Charleston! Not bad, but I think I can break that record on my next trip. Thank you @naphia_official for having me as your conferen"
DY2ya8JIzBL,reel,https://www.instagram.com/thedogist/reel/DY2ya8JIzBL/,partial,1,31000,,107,135,135,og_description,0.7926,98,1408,13.16,3,37.28,24,2026-05-27T20:48:14.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-06,2026-06-19T23:59:29.795Z,7879,visible,16,135,2026-06-19T23:59:29.796Z,2026-06-20T00:01:19.945Z,44,visible,visible,"Frankie, Australian Shepherd (6 y/o), Washington Square Park, New York, NY • “He loves problematically everything – he ate rat poison one time. Would not recomm"
DYxt7vXEfe-,p,https://www.instagram.com/thedogist/p/DYxt7vXEfe-/,partial,1,59000,,813,870,870,og_description,0.9345,787,2610,3.21,0,38.08,29,2026-05-25T21:32:22.000Z,max_post_runtime_reached,max_post_runtime_reached,20,worker-07,2026-06-20T00:01:31.453Z,11487,visible,16,870,2026-06-20T00:01:31.453Z,2026-06-20T00:09:35.559Z,220,visible,visible,Dogs at the @Mets Bark At The Park. Comment your favorite photo from the set 🐶⚾️
DYubPMMRNWE,reel,https://www.instagram.com/thedogist/reel/DYubPMMRNWE/,partial,1,64000,,192,513,513,og_description,0.3743,181,4323,22.52,1,41.05,25,2026-05-24T15:56:51.000Z,comments_exhausted_no_new_rounds,comments_exhausted_no_new_rounds,20,worker-08,2026-06-20T00:09:42.275Z,6691,visible,16,513,2026-06-20T00:09:42.276Z,2026-06-20T00:12:08.236Z,62,visible,visible,"thedogistVerified Edited•3wRomeo, Groenendael (2 y/o), Bleecker & W 10th St., New York, NY • “My partner had one before and saw the same breed running along the"
