shortcode,kind,url,status,attempts,post_like_count,repost_count,captured_comments,displayed_comment_count,target_comment_count,target_comment_source,capture_rate_estimate,unique_commenters,total_comment_likes,mean_comment_likes,median_comment_likes,mean_text_length,median_text_length,posted_at,stop_reason,exhaustion_reason,effective_concurrency,worker_id,active_hydrated_at,active_hydrate_ms,hydrate_visibility_state,hydrate_comments_found,hydrate_target_comment_count,active_scrape_started_at,active_scrape_finished_at,active_scroll_rounds,active_visibility_states,background_scroll_visibility_states,caption_preview
DSm6maGEfgd,p,https://www.instagram.com/thedogist/p/DSm6maGEfgd/,partial_unknown_target,1,27000,52,72,137,137,og_description_mixed_platform,0.5255,61,0,0,0,46.03,28,2025-12-23T13:43:01.000Z,post_detail_step_timeout,post_detail_step_timeout,1,worker-01,2026-06-20T21:36:47.803Z,7871,visible,18,137,2026-06-20T21:36:47.803Z,2026-06-20T21:37:16.088Z,,,,Looking for holiday travel stress relief?Golden good boy James is here to melt it away for all of us – one dance move at a time 🐾Feeling better already?👉 Go w
DSlIb6Lkdd9,reel,https://www.instagram.com/thedogist/reel/DSlIb6Lkdd9/,partial,1,16000,35,63,64,64,view_all_comments_button,0.9844,52,0,0,0,33.41,31,2025-12-22T21:05:05.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T21:37:26.644Z,7910,visible,19,64,2026-06-20T21:37:26.644Z,2026-06-20T21:38:01.728Z,15,visible,visible,@kanebrown and @katelynbrown help me spread paw-liday cheer around NYC! Watch the full episode on YouTube 🎄 Link in bio
DSiePczERTP,reel,https://www.instagram.com/thedogist/reel/DSiePczERTP/,partial,1,40000,83,218,223,223,view_all_comments_button,0.9776,210,0,0,0,51.11,30,2025-12-21T20:19:24.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T21:38:10.253Z,5490,visible,17,223,2026-06-20T21:38:10.254Z,2026-06-20T21:39:18.599Z,28,visible,visible,"Ace, Chihuahua (12 y/o), S 2nd & Wythe Ave., Brooklyn, NY • “He’s super friendly. He acts like a puppy – he’s actually twelve. He almost died when he was six mo"
DSfktSdkeL4,p,https://www.instagram.com/thedogist/p/DSfktSdkeL4/,partial_unknown_target,1,45000,40,857,2177,2177,view_all_comments_button,0.3937,829,0,0,0,201.54,141,2025-12-20T17:17:01.000Z,post_detail_step_timeout,post_detail_step_timeout,1,worker-01,2026-06-20T21:39:25.690Z,4254,visible,17,2177,2026-06-20T21:39:25.691Z,2026-06-20T21:44:27.615Z,,,,⭐️BIRTHDAY GIVEAWAY! ⭐️It’s my birthday today and I want to celebrate with one of you!I’m extremely lucky that I get to share the joy of dogs everyday for a liv
DSdonnpEXOI,p,https://www.instagram.com/thedogist/p/DSdonnpEXOI/,partial,1,47000,78,151,178,178,view_all_comments_button,0.8483,149,0,0,0,34.32,20,2025-12-19T23:12:44.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T21:44:38.376Z,6686,visible,16,178,2026-06-20T21:44:38.377Z,2026-06-20T21:45:52.025Z,30,visible,visible,"On my trip to @brotherwolfanimalrescue , I also got the chance to meet some rescue alums! It was amazing to hear their unique backstories and see them now livin"
DScvUwVEXYc,reel,https://www.instagram.com/thedogist/reel/DScvUwVEXYc/,partial,1,12000,125,156,161,161,view_all_comments_button,0.9689,145,0,0,0,80.18,58.5,2025-12-19T14:54:50.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T21:46:00.739Z,5466,visible,18,161,2026-06-20T21:46:00.739Z,2026-06-20T21:47:10.752Z,33,visible,visible,"I had the privilege of visiting the @brotherwolfanimalrescue team down in Asheville, NC as part of this year’s Dogist Fund effort. Despite having their entire s"
DSaK_Z-ESVC,reel,https://www.instagram.com/thedogist/reel/DSaK_Z-ESVC/,partial,1,17000,44,90,91,91,view_all_comments_button,0.989,67,0,0,0,35.21,29,2025-12-19T19:35:17.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T21:47:21.157Z,7882,visible,21,91,2026-06-20T21:47:21.157Z,2026-06-20T21:48:10.027Z,19,visible,visible,thedogistVerified Edited•26w‘Tis the season for hoop jumping! Charlotte is the Golden standard at spreading joy and de-stressing everyone during the busy holida
DSX0YmtEZmM,reel,https://www.instagram.com/thedogist/reel/DSX0YmtEZmM/,partial,1,33000,57,69,75,75,view_all_comments_button,0.92,59,0,0,0,57.32,42,2025-12-17T17:00:07.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T21:48:18.155Z,5474,visible,18,75,2026-06-20T21:48:18.156Z,2026-06-20T21:49:04.912Z,23,visible,visible,@zooeydeschanel and I met a dog who might be on the naughty list 🎄 Which list is your pup on?! Full episode on YouTube!
DSVel8OkUUh,reel,https://www.instagram.com/thedogist/reel/DSVel8OkUUh/,partial_unknown_target,1,71000,117,200,222,222,og_description_mixed_platform,0.9009,186,0,0,0,36.69,25,2025-12-16T19:11:28.000Z,post_detail_step_timeout,post_detail_step_timeout,1,worker-01,2026-06-20T21:49:16.904Z,9096,visible,24,222,2026-06-20T21:49:16.905Z,2026-06-20T21:50:10.058Z,,,,Wednesday?! WEDNESDAY! New episode of DOGS out tomorrow with @zooeydeschanel on YouTube! It’s gonna be a fun one ☃️🎁
DSS5mWzEU9k,p,https://www.instagram.com/thedogist/p/DSS5mWzEU9k/,partial,1,42000,46,459,468,468,view_all_comments_button,0.9808,445,0,0,0,30.79,21,2025-12-15T19:09:28.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T21:50:18.328Z,5491,visible,18,468,2026-06-20T21:50:18.329Z,2026-06-20T21:52:25.354Z,29,visible,visible,"Let it go, let it go… the cold doesn’t bother Elsa anyway ❄️🎶"
DSQeCzBkdxd,p,https://www.instagram.com/thedogist/p/DSQeCzBkdxd/,partial,1,34000,32,120,126,126,view_all_comments_button,0.9524,113,0,0,0,38.92,24.5,2025-12-14T20:30:11.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T21:52:37.114Z,9121,visible,27,126,2026-06-20T21:52:37.115Z,2026-06-20T21:53:19.312Z,21,visible,visible,"Rocco, Toy Manchester Terrier, 26th & 9th Ave., New York, NY • “I didn’t buy him. He’s from the pound. He’s very vocal. He sometimes scares the other dogs by ba"
DSNzr9EESMo,reel,https://www.instagram.com/thedogist/reel/DSNzr9EESMo/,partial,1,32000,92,253,259,259,view_all_comments_button,0.9768,234,0,0,0,37.72,28,2025-12-13T19:43:34.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T21:53:29.812Z,7873,visible,19,259,2026-06-20T21:53:29.812Z,2026-06-20T21:54:57.253Z,29,visible,visible,"Beta, Maltese/Poodle mix, Metropolitan & Berry St., Brooklyn, NY • “She has a different hat for different days. My life would be infinitesimally different witho"
DSLF83Zkafe,reel,https://www.instagram.com/thedogist/reel/DSLF83Zkafe/,partial,1,69000,237,581,591,591,view_all_comments_button,0.9831,556,0,0,0,46.91,33,2025-12-12T18:24:35.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T21:55:09.824Z,9121,visible,22,591,2026-06-20T21:55:09.824Z,2026-06-20T21:58:41.119Z,37,visible,visible,They said it couldn’t be done. I said “woof” 😎
DSJCgs8kXh0,reel,https://www.instagram.com/thedogist/reel/DSJCgs8kXh0/,partial,1,59000,144,315,346,346,view_all_comments_button,0.9104,294,0,0,0,47.56,29,2025-12-11T23:16:08.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T21:58:46.982Z,3092,visible,15,346,2026-06-20T21:58:46.983Z,2026-06-20T22:00:16.237Z,27,visible,visible,"Charlie, Labrador Retriever (5 y/o), N 7th & Berry St., Brooklyn, NY • “He loves every animal, every person… everything. He loves hiking and loves to chase pige"
DSFyz8-kUzv,reel,https://www.instagram.com/thedogist/reel/DSFyz8-kUzv/,partial,1,31000,1600,317,325,325,view_all_comments_button,0.9754,290,0,0,0,27.98,16,2025-12-10T17:00:45.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:00:25.667Z,6706,visible,19,325,2026-06-20T22:00:25.668Z,2026-06-20T22:01:48.796Z,25,visible,visible,It’s officially sweater weather in NYC and @marktuan helped me find a doodle puppy wearing one! 🐶🧣Full episode out now on YouTube!
DSDe6u8kS6O,p,https://www.instagram.com/thedogist/p/DSDe6u8kS6O/,partial,1,45000,61,375,381,381,view_all_comments_button,0.9843,359,0,0,0,36.27,22,2025-12-09T19:27:42.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:01:56.986Z,5469,visible,20,381,2026-06-20T22:01:56.987Z,2026-06-20T22:03:42.231Z,29,visible,visible,"Wally, Pug, 16th & Union Square W, New York, NY • “He’s a one-eyed Pug. I adopted him @waggytailrescue in the city; he’s from Texas. He was a stray and he came "
DR-aHhzkXgF,reel,https://www.instagram.com/thedogist/reel/DR-aHhzkXgF/,partial,1,6341,14,73,79,79,view_all_comments_button,0.9241,55,0,0,0,66.74,45,2025-12-07T20:12:20.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:03:54.051Z,9139,visible,26,79,2026-06-20T22:03:54.052Z,2026-06-20T22:04:30.878Z,17,visible,visible,"The Hotdogist goes to Flushing, Queens to try a Korean cheese dog 🧀🌭Would you try it? Which dog should I try next?"
DR72mfKEedE,reel,https://www.instagram.com/thedogist/reel/DR72mfKEedE/,partial,1,69000,316,322,338,338,view_all_comments_button,0.9527,302,0,0,0,40.91,27,2025-12-06T20:35:59.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:04:41.473Z,7927,visible,19,338,2026-06-20T22:04:41.474Z,2026-06-20T22:06:24.836Z,29,visible,visible,"thedogistVerified Edited•28wBronson, Pembroke Welsh Corgi, N 9th & Berry St., Brooklyn, NY • “He’s very sassy. Very food motivated. He ate two pounds of charcut"
DR7aTBTkebB,reel,https://www.instagram.com/empirestatebldg/reel/DR7aTBTkebB/,partial,1,23000,48,85,87,87,view_all_comments_button,0.977,80,0,0,0,48.39,26,2025-12-06T16:14:29.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:06:35.602Z,7896,visible,19,87,2026-06-20T22:06:35.603Z,2026-06-20T22:07:18.932Z,23,visible,visible,She’s the World’s Most Famous Dog at the World’s Most Famous Building
DR5O3P_jycm,p,https://www.instagram.com/thedogist/p/DR5O3P_jycm/,partial,1,20000,13,74,77,77,view_all_comments_button,0.961,69,0,0,0,37.12,32,2025-12-05T19:55:01.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:07:29.555Z,6723,visible,19,77,2026-06-20T22:07:29.555Z,2026-06-20T22:08:06.158Z,19,visible,visible,"I went to the tippy-top of the Empire State Building to take photos of dogs! I got to meet Gemma, their detection dog, and may or may not have gotten vertigo lo"
DR4mTwyESDm,reel,https://www.instagram.com/thedogist/reel/DR4mTwyESDm/,partial,1,91000,421,454,474,474,view_all_comments_button,0.9578,437,0,0,0,39.35,28,2025-12-05T13:24:03.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:08:12.898Z,4325,visible,16,474,2026-06-20T22:08:12.898Z,2026-06-20T22:10:34.747Z,33,visible,visible,"Cain & Abel, Dachshunds, N 7th & Driggs Ave., Brooklyn, NY • “Cain is much calmer and more cuddly. Abel is a bit more reactive. They like to eat everything on t"
DR2VEONkdPT,reel,https://www.instagram.com/thedogist/reel/DR2VEONkdPT/,partial_unknown_target,1,7824,22,78,145,145,view_all_comments_button,0.5379,46,0,0,0,54.5,46.5,2025-12-04T16:53:40.000Z,post_detail_step_timeout,post_detail_step_timeout,1,worker-01,2026-06-20T22:10:46.713Z,9099,visible,22,145,2026-06-20T22:10:46.714Z,2026-06-20T22:11:15.010Z,,,,"I stopped by my buddy @pasquale spot to meet his new dog, Spark (@spark.lingonberry ), and his robotic dog Spot he’s “fostering” for a few months from @bostondy"
DRzx0o2Ed0i,reel,https://www.instagram.com/thedogist/reel/DRzx0o2Ed0i/,partial,1,29000,93,167,177,177,view_all_comments_button,0.9435,154,0,0,0,44.38,29,2025-12-03T17:05:04.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:11:26.953Z,9111,visible,19,177,2026-06-20T22:11:26.954Z,2026-06-20T22:12:28.414Z,26,visible,visible,"@zacharyquinto faces off Bill the adoptable puppy on this episode DOGS, on YouTube! Link in bio for the full episode!"
DRw-IF6EaT_,reel,https://www.instagram.com/thedogist/reel/DRw-IF6EaT_/,partial,1,4586,25,35,38,38,view_all_comments_button,0.9211,31,0,0,0,47.06,22,2025-12-02T15:46:53.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:12:36.500Z,5501,visible,17,38,2026-06-20T22:12:36.501Z,2026-06-20T22:13:07.642Z,13,visible,visible,thedogistVerified Edited•28wIt’s Giving Tuesday! This year I’m excited to partner with @gofundme to raise money for The Dogist Fund and its three 2025 beneficia
DRqGWbcEVvW,p,https://www.instagram.com/thedogist/p/DRqGWbcEVvW/,partial,1,90000,214,468,472,472,view_all_comments_button,0.9915,449,0,0,0,55.2,27,2025-11-29T22:52:01.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:13:19.456Z,9098,visible,28,472,2026-06-20T22:13:19.457Z,2026-06-20T22:16:05.865Z,39,visible,visible,Street dogs of Saint Lucia.I met a few friendly stray dogs during the Gros Islet street party in Saint Lucia in the Caribbean. While these dogs’ lives may be un
DRnCa95EcVk,reel,https://www.instagram.com/thedogist/reel/DRnCa95EcVk/,partial,1,36000,68,156,157,157,view_all_comments_button,0.9936,145,0,0,0,69.15,49.5,2025-11-28T18:23:18.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:16:13.953Z,5510,visible,17,157,2026-06-20T22:16:13.954Z,2026-06-20T22:17:08.864Z,27,visible,visible,"Spend a day with us in Saint Lucia! It was my wife Sam’s birthday, so we got some special spa treatments and then cancelled the dinner I had planned to check ou"
DRk1drPEZWn,p,https://www.instagram.com/thedogist/p/DRk1drPEZWn/,partial,1,87000,72,299,303,303,view_all_comments_button,0.9868,285,0,0,0,44.81,28,2025-11-27T21:48:16.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:17:20.674Z,9143,visible,20,303,2026-06-20T22:17:20.675Z,2026-06-20T22:18:44.937Z,25,visible,visible,"Happy Thanksgiving from Elsa, Sam & me! I’m thankful for the people and dogs in my life and Elsa’s thankful for table scraps (and family) ☺️ Post your dogs at t"
DRhwQ_TEZP_,reel,https://www.instagram.com/thedogist/reel/DRhwQ_TEZP_/,partial,1,17000,29,70,74,74,view_all_comments_button,0.9459,62,0,0,0,40.71,23,2025-11-26T17:05:05.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:18:52.107Z,4312,visible,16,74,2026-06-20T22:18:52.108Z,2026-06-20T22:19:30.542Z,17,visible,visible,@anagasteyer gets maternal with the adoptable puppy from @animalhaven on today’s episode of DOGS. Watch now on YouTube!
DRfHWUmEVx6,reel,https://www.instagram.com/thedogist/reel/DRfHWUmEVx6/,partial_unknown_target,1,36000,174,667,2080,2080,view_all_comments_button,0.3207,628,0,0,0,30.27,10,2025-11-25T16:49:14.000Z,post_detail_step_timeout,post_detail_step_timeout,1,worker-01,2026-06-20T22:19:42.352Z,9098,visible,27,2080,2026-06-20T22:19:42.353Z,2026-06-20T22:23:22.551Z,,,,"While here in Saint Lucia, Sam and I have seen dozens of stray dogs wandering the streets wherever we go. We decided to stop by @helpaws animal shelter to learn"
DRcOFufETTf,reel,https://www.instagram.com/thedogist/reel/DRcOFufETTf/,partial,1,84000,311,567,581,581,view_all_comments_button,0.9759,533,0,0,0,41.16,27,2025-11-24T13:45:04.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:23:35.112Z,9162,visible,24,581,2026-06-20T22:23:35.113Z,2026-06-20T22:26:44.195Z,35,visible,visible,"Toffee, Poodle mix, Prince & Mercer St., New York, NY • “He’s calm and chill. We’ve had him for three months. We live in LA – we got him in Bakersfield from Tho"
DRZrBchkaoj,reel,https://www.instagram.com/thedogist/reel/DRZrBchkaoj/,partial_unknown_target,1,27000,57,55,126,126,og_description_mixed_platform,0.4365,44,0,0,0,31.96,22,2025-11-23T13:45:10.000Z,post_detail_step_timeout,post_detail_step_timeout,1,worker-01,2026-06-20T22:26:56.156Z,9122,visible,19,126,2026-06-20T22:26:56.156Z,2026-06-20T22:27:24.460Z,,,,"Uzume, Chihuahua mix, Thompson & Prince St., New York, NY • “(Her name means) Japanese goddess of happiness. She brings happiness all the time. She’s extremely "
DRYAGz0ERpH,reel,https://www.instagram.com/thedogist/reel/DRYAGz0ERpH/,partial,1,12000,19,157,158,158,view_all_comments_button,0.9937,155,0,0,0,58.6,30,2025-11-22T22:11:55.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:27:32.685Z,5529,visible,17,158,2026-06-20T22:27:32.686Z,2026-06-20T22:28:29.644Z,27,visible,visible,Getting to know St Lucia with @sjcutler 😎🌴 What’s your favorite Caribbean island?
DRXGMXFEQex,reel,https://www.instagram.com/thedogist/reel/DRXGMXFEQex/,partial,1,30000,45,180,182,182,view_all_comments_button,0.989,165,0,0,0,43.45,31,2025-11-22T13:45:05.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:28:38.465Z,5515,visible,18,182,2026-06-20T22:28:38.465Z,2026-06-20T22:29:50.998Z,30,visible,visible,"Perdita, Pit Bull mix (6 y/o), Washington Square Park, New York, NY • “This is Perdy – short for Perdita. The shelter we got her from named her after the mother"
DRVV6FrEc03,p,https://www.instagram.com/thedogist/p/DRVV6FrEc03/,partial,1,40000,43,201,205,205,view_all_comments_button,0.9805,195,0,0,0,23.11,17,2025-11-21T21:23:54.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:29:59.071Z,5490,visible,17,205,2026-06-20T22:29:59.072Z,2026-06-20T22:31:00.215Z,23,visible,visible,"Biron, English Bulldog (9 y/o), 25th & 7th Ave., New York, NY"
DRSxJXVEdom,reel,https://www.instagram.com/thedogist/reel/DRSxJXVEdom/,partial,1,24000,29,386,398,398,view_all_comments_button,0.9698,357,0,0,0,42.78,27,2025-11-20T21:32:49.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:31:11.832Z,9135,visible,23,398,2026-06-20T22:31:11.833Z,2026-06-20T22:33:00.547Z,28,visible,visible,"A surprise birthday trip for Sam – beaches, pitons, and local pups ❤️🌴🐕🎂 Any recommendations for places to go/things to do?"
DRSS7Vsj5Yl,p,https://www.instagram.com/ballantinebooks/p/DRSS7Vsj5Yl/,partial,1,1705,6,231,239,239,view_all_comments_button,0.9665,225,0,0,0,140.07,107,2025-11-20T17:00:18.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:33:07.777Z,4307,visible,13,239,2026-06-20T22:33:07.777Z,2026-06-20T22:34:26.816Z,38,visible,visible,"To celebrate This Dog Will Change Your Life by @TheDogist, we’re hosting a giveaway filled with goodies every dog lover will adore!⁣ ⁣One winner will receive:⁣✨"
DRR65IkkYw0,reel,https://www.instagram.com/thedogist/reel/DRR65IkkYw0/,partial,1,46000,89,192,195,195,view_all_comments_button,0.9846,180,0,0,0,48.06,25.5,2025-11-20T13:30:04.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:34:36.350Z,6721,visible,20,195,2026-06-20T22:34:36.351Z,2026-06-20T22:35:44.496Z,34,visible,visible,"Zen, German Shepherd mix (5 y/o), Washington Square Park, New York, NY • “Zen – she came with the name. We rescued her. She tends to just eat everything. She li"
DRPu6dJkRMt,reel,https://www.instagram.com/thedogist/reel/DRPu6dJkRMt/,partial,1,43000,73,210,217,217,view_all_comments_button,0.9677,191,0,0,0,44.62,33,2025-11-19T17:08:08.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:35:54.024Z,6720,visible,21,217,2026-06-20T22:35:54.025Z,2026-06-20T22:37:10.210Z,30,visible,visible,"Norman rejects treats from food connoisseur @phil.rosenthal on this episode of DOGS, on YouTube!"
DRN8ZXTEe2B,reel,https://www.instagram.com/thedogist/reel/DRN8ZXTEe2B/,partial,1,32000,61,253,257,257,view_all_comments_button,0.9844,247,0,0,0,51.32,37,2025-11-19T00:29:03.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:37:20.931Z,7904,visible,23,257,2026-06-20T22:37:20.931Z,2026-06-20T22:38:50.641Z,38,visible,visible,"Maisie, Poodle mix, 20th & 10th Ave., New York, NY • “This is her new look. We decided to keep the head puffy, her tail long. The intelligence factor of this do"
DRLXw4cEcbt,reel,https://www.instagram.com/thedogist/reel/DRLXw4cEcbt/,partial,1,67000,344,505,519,519,view_all_comments_button,0.973,494,0,0,0,49.54,34,2025-11-18T00:28:42.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:39:00.098Z,6754,visible,28,519,2026-06-20T22:39:00.098Z,2026-06-20T22:41:30.640Z,30,visible,visible,"Gudi, Siberian Husky (9 y/o), E 5th & Ave B, New York, NY • “That Gudi. G-U-D-I, it’s short for Gudinde which is Danish for goddess. She’s nine. Oh my god, I do"
DRIxw4JEcVg,reel,https://www.instagram.com/thedogist/reel/DRIxw4JEcVg/,partial,1,58000,162,258,263,263,view_all_comments_button,0.981,247,0,0,0,33.06,25,2025-11-17T01:13:24.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:41:39.819Z,5532,visible,23,263,2026-06-20T22:41:39.820Z,2026-06-20T22:42:55.999Z,29,visible,visible,"thedogistVerified Edited•30wDart, Dachshund (6 m/o), Sullivan & Houston St., New York, NY • “This is Dart. It’s short for D’Artagnan – from The Three Musketeers"
DRDaiAWEQW6,reel,https://www.instagram.com/thedogist/reel/DRDaiAWEQW6/,partial,1,44000,95,268,278,278,view_all_comments_button,0.964,252,0,0,0,42.5,27,2025-11-14T22:18:59.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:43:04.340Z,5547,visible,23,278,2026-06-20T22:43:04.341Z,2026-06-20T22:44:29.543Z,31,visible,visible,"Kepler, Basenji (11 y/o), W 3rd & Sullivan St., New York, NY • “We had two Basenji’s but we lost one a couple years ago. We run the Basenji meet-ups. Anywhere f"
DRA3Ip-EbrP,p,https://www.instagram.com/thedogist/p/DRA3Ip-EbrP/,partial,1,52000,89,175,192,192,view_all_comments_button,0.9115,173,0,0,0,29.32,19,2025-11-13T22:30:12.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:44:41.244Z,9114,visible,15,192,2026-06-20T22:44:41.245Z,2026-06-20T22:45:47.179Z,27,visible,visible,"Ka, Pomsky, 40th & Park Ave., New York, NY"
DQ9slrTkS5V,reel,https://www.instagram.com/thedogist/reel/DQ9slrTkS5V/,partial,1,9623,36,19,21,21,view_all_comments_button,0.9048,17,0,0,0,39.84,26,2025-11-12T17:11:21.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:45:55.256Z,5529,visible,17,21,2026-06-20T22:45:55.257Z,2026-06-20T22:46:19.258Z,11,visible,visible,thedogistVerified Edited•31w@Ariana_Greenblatt used magic to conjure two Golden Retrievers on this week’s episode of DOGS!And don’t forget to see Ariana in @nys
DQ71c8OERz8,reel,https://www.instagram.com/thedogist/reel/DQ71c8OERz8/,partial,1,44000,92,267,284,284,view_all_comments_button,0.9401,241,0,0,0,42.78,31,2025-11-11T23:40:28.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:46:31.044Z,9186,visible,46,284,2026-06-20T22:46:31.045Z,2026-06-20T22:48:06.308Z,34,visible,visible,"Cheddar, Hound Mix, E 10th & Ave A, New York, NY • “This is Cheddar. His mom was a Beagle-Bassett mix. The whole litter was named after bagel flavors, and his w"
DQ1pMhSEWbl,reel,https://www.instagram.com/thedogist/reel/DQ1pMhSEWbl/,partial,1,43000,95,237,253,253,view_all_comments_button,0.9368,229,0,0,0,29.63,24,2025-11-09T13:57:53.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:48:19.546Z,9188,visible,26,253,2026-06-20T22:48:19.546Z,2026-06-20T22:49:37.344Z,27,visible,visible,"Mocha, Miniature Poodle (3 y/o), Broadway & Broome St., New York, NY • “He loves people, food, and rats… wild rats. He almost got one. My favorite is every time"
DQzLz-LEZ9L,reel,https://www.instagram.com/thedogist/reel/DQzLz-LEZ9L/,partial,1,34000,63,131,138,138,view_all_comments_button,0.9493,119,0,0,0,58.31,40,2025-11-08T15:19:58.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:49:47.890Z,7978,visible,27,138,2026-06-20T22:49:47.891Z,2026-06-20T22:50:37.633Z,25,visible,visible,"thedogistVerified Edited•32wPangur & Nessie, mixes, Prince & West Broadway, New York, NY • “This is Pangur, and this is Nessie – she’s very shy; she might not p"
DQwZJGKDcvk,reel,https://www.instagram.com/thedogist/reel/DQwZJGKDcvk/,partial,1,47000,98,444,481,481,view_all_comments_button,0.9231,377,0,0,0,64.72,39,2025-11-07T13:00:06.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:50:48.287Z,7982,visible,34,481,2026-06-20T22:50:48.288Z,2026-06-20T22:53:34.614Z,34,visible,visible,"Lola, French Bulldog (5 y/o), Stuyvesant Square Park, New York, NY • “She’s obsessed with the ball – any ball. She’s cute and fun and all for the good.”"
DQrq9DwkctG,reel,https://www.instagram.com/thedogist/reel/DQrq9DwkctG/,partial,1,14000,17,35,40,40,view_all_comments_button,0.875,34,0,0,0,27.06,18,2025-11-05T17:01:29.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:53:42.740Z,5540,visible,18,40,2026-06-20T22:53:42.741Z,2026-06-20T22:54:13.259Z,13,visible,visible,"Peca doesn’t just give his paw to anyone, it’s gotta be Allison Williams @aw (or whoever has a cookie).Watch the full episode on YouTube 🐶"
DQpWw3xkQmi,p,https://www.instagram.com/thedogist/p/DQpWw3xkQmi/,partial,1,42000,30,267,277,277,view_all_comments_button,0.9639,242,0,0,0,49.62,25,2025-11-04T19:24:48.000Z,comments_exhausted_bottom_reached,comments_exhausted_bottom_reached,1,worker-01,2026-06-20T22:54:22.782Z,6706,visible,20,277,2026-06-20T22:54:22.782Z,2026-06-20T22:56:16.987Z,34,visible,visible,"Darcy, Miniature Goldendoodle (3 y/o), Astor Place, New York, NY • “He’s a mini Goldendoodle but everyone thinks he’s an Aussie.”"
