position,shortcode,kind,url,canonical_url,discovered_at,discovery_round,visible_index
35,DYkDVQKN3Za,reel,https://www.instagram.com/nycacc/reel/DYkDVQKN3Za/,https://www.instagram.com/reel/DYkDVQKN3Za/,2026-06-19T22:17:08.735Z,1,36
36,DYiXD3WEcwm,p,https://www.instagram.com/thedogist/p/DYiXD3WEcwm/,https://www.instagram.com/p/DYiXD3WEcwm/,2026-06-19T22:17:08.736Z,1,37
37,DYh1XcIxexg,reel,https://www.instagram.com/thedogist/reel/DYh1XcIxexg/,https://www.instagram.com/reel/DYh1XcIxexg/,2026-06-19T22:17:10.341Z,2,38
38,DYfseNWRJdY,reel,https://www.instagram.com/thedogist/reel/DYfseNWRJdY/,https://www.instagram.com/reel/DYfseNWRJdY/,2026-06-19T22:17:10.342Z,2,39
39,DYdbhzSEdAy,p,https://www.instagram.com/thedogist/p/DYdbhzSEdAy/,https://www.instagram.com/p/DYdbhzSEdAy/,2026-06-19T22:17:10.342Z,2,40
40,DYZoGV5xc-7,reel,https://www.instagram.com/thedogist/reel/DYZoGV5xc-7/,https://www.instagram.com/reel/DYZoGV5xc-7/,2026-06-19T22:17:10.342Z,2,41
41,DYYFuOQR_XO,reel,https://www.instagram.com/thedogist/reel/DYYFuOQR_XO/,https://www.instagram.com/reel/DYYFuOQR_XO/,2026-06-19T22:17:10.342Z,2,42
42,DYVizzrRutU,reel,https://www.instagram.com/thedogist/reel/DYVizzrRutU/,https://www.instagram.com/reel/DYVizzrRutU/,2026-06-19T22:17:10.343Z,2,43
43,DYS0AD8xUHT,reel,https://www.instagram.com/thedogist/reel/DYS0AD8xUHT/,https://www.instagram.com/reel/DYS0AD8xUHT/,2026-06-19T22:17:10.343Z,2,44
44,DYP8IqWkbhN,p,https://www.instagram.com/thedogist/p/DYP8IqWkbhN/,https://www.instagram.com/p/DYP8IqWkbhN/,2026-06-19T22:17:10.343Z,2,45
45,DYNqkPIhG0M,reel,https://www.instagram.com/thedogist/reel/DYNqkPIhG0M/,https://www.instagram.com/reel/DYNqkPIhG0M/,2026-06-19T22:17:10.343Z,2,46
46,DYKLczCyeR7,reel,https://www.instagram.com/thedogist/reel/DYKLczCyeR7/,https://www.instagram.com/reel/DYKLczCyeR7/,2026-06-19T22:17:10.343Z,2,47
47,DYIPkVcP3QY,reel,https://www.instagram.com/thedogist/reel/DYIPkVcP3QY/,https://www.instagram.com/reel/DYIPkVcP3QY/,2026-06-19T22:17:10.343Z,2,48
48,DYF-_83xsIa,reel,https://www.instagram.com/thedogist/reel/DYF-_83xsIa/,https://www.instagram.com/reel/DYF-_83xsIa/,2026-06-19T22:17:10.344Z,2,49
49,DYDW2ezkeo6,p,https://www.instagram.com/thedogist/p/DYDW2ezkeo6/,https://www.instagram.com/p/DYDW2ezkeo6/,2026-06-19T22:17:11.954Z,3,50
50,DYAytyKy1xb,reel,https://www.instagram.com/thedogist/reel/DYAytyKy1xb/,https://www.instagram.com/reel/DYAytyKy1xb/,2026-06-19T22:17:11.954Z,3,51
51,DX-NWSiSAfX,reel,https://www.instagram.com/thedogist/reel/DX-NWSiSAfX/,https://www.instagram.com/reel/DX-NWSiSAfX/,2026-06-19T22:17:11.954Z,3,52
52,DX7q55aStyB,reel,https://www.instagram.com/thedogist/reel/DX7q55aStyB/,https://www.instagram.com/reel/DX7q55aStyB/,2026-06-19T22:17:11.954Z,3,53
53,DX7N9SEkRMP,p,https://www.instagram.com/thedogist/p/DX7N9SEkRMP/,https://www.instagram.com/p/DX7N9SEkRMP/,2026-06-19T22:17:11.954Z,3,54
54,DX1qRXNz7YJ,reel,https://www.instagram.com/thedogist/reel/DX1qRXNz7YJ/,https://www.instagram.com/reel/DX1qRXNz7YJ/,2026-06-19T22:17:11.955Z,3,55
55,DXzzFw7SqDt,reel,https://www.instagram.com/thedogist/reel/DXzzFw7SqDt/,https://www.instagram.com/reel/DXzzFw7SqDt/,2026-06-19T22:17:11.955Z,3,56
56,DXxZpZrSVod,reel,https://www.instagram.com/thedogist/reel/DXxZpZrSVod/,https://www.instagram.com/reel/DXxZpZrSVod/,2026-06-19T22:17:11.955Z,3,57
57,DXwg-gNlEQO,p,https://www.instagram.com/thedogist/p/DXwg-gNlEQO/,https://www.instagram.com/p/DXwg-gNlEQO/,2026-06-19T22:17:11.955Z,3,58
58,DXsHI8VkbUP,reel,https://www.instagram.com/thedogist/reel/DXsHI8VkbUP/,https://www.instagram.com/reel/DXsHI8VkbUP/,2026-06-19T22:17:11.955Z,3,59
59,DXmOp93RV70,reel,https://www.instagram.com/thedogist/reel/DXmOp93RV70/,https://www.instagram.com/reel/DXmOp93RV70/,2026-06-19T22:17:11.955Z,3,60
60,DXjqVIgBU3J,reel,https://www.instagram.com/thedogist/reel/DXjqVIgBU3J/,https://www.instagram.com/reel/DXjqVIgBU3J/,2026-06-19T22:17:11.955Z,3,61
61,DXh1oZBxUhq,reel,https://www.instagram.com/thedogist/reel/DXh1oZBxUhq/,https://www.instagram.com/reel/DXh1oZBxUhq/,2026-06-19T22:17:13.559Z,4,62
62,DXceh4vxhPr,reel,https://www.instagram.com/thedogist/reel/DXceh4vxhPr/,https://www.instagram.com/reel/DXceh4vxhPr/,2026-06-19T22:17:13.560Z,4,63
63,DXaEtasER4M,p,https://www.instagram.com/thedogist/p/DXaEtasER4M/,https://www.instagram.com/p/DXaEtasER4M/,2026-06-19T22:17:13.560Z,4,64
64,DXXn2QcxAek,reel,https://www.instagram.com/thedogist/reel/DXXn2QcxAek/,https://www.instagram.com/reel/DXXn2QcxAek/,2026-06-19T22:17:13.560Z,4,65
65,DXVSjw2kVic,p,https://www.instagram.com/thedogist/p/DXVSjw2kVic/,https://www.instagram.com/p/DXVSjw2kVic/,2026-06-19T22:17:13.560Z,4,66
66,DXPwZ6DRIAa,reel,https://www.instagram.com/thedogist/reel/DXPwZ6DRIAa/,https://www.instagram.com/reel/DXPwZ6DRIAa/,2026-06-19T22:17:13.560Z,4,67
67,DXNdMW8xP5f,reel,https://www.instagram.com/thedogist/reel/DXNdMW8xP5f/,https://www.instagram.com/reel/DXNdMW8xP5f/,2026-06-19T22:17:13.560Z,4,68
68,DXK9knWRkVg,reel,https://www.instagram.com/thedogist/reel/DXK9knWRkVg/,https://www.instagram.com/reel/DXK9knWRkVg/,2026-06-19T22:17:13.561Z,4,69
69,DXKTQR1xlMJ,reel,https://www.instagram.com/thedogist/reel/DXKTQR1xlMJ/,https://www.instagram.com/reel/DXKTQR1xlMJ/,2026-06-19T22:17:13.561Z,4,70
70,DXIKSiARwyc,reel,https://www.instagram.com/thedogist/reel/DXIKSiARwyc/,https://www.instagram.com/reel/DXIKSiARwyc/,2026-06-19T22:17:13.561Z,4,71
71,DXFn2gyR49z,reel,https://www.instagram.com/thedogist/reel/DXFn2gyR49z/,https://www.instagram.com/reel/DXFn2gyR49z/,2026-06-19T22:17:13.561Z,4,72
72,DXCQQ6BR4Tr,reel,https://www.instagram.com/thedogist/reel/DXCQQ6BR4Tr/,https://www.instagram.com/reel/DXCQQ6BR4Tr/,2026-06-19T22:17:13.561Z,4,73
73,DXAjf57kemI,p,https://www.instagram.com/thedogist/p/DXAjf57kemI/,https://www.instagram.com/p/DXAjf57kemI/,2026-06-19T22:17:15.166Z,5,59
74,DW9xYBdRqu3,reel,https://www.instagram.com/thedogist/reel/DW9xYBdRqu3/,https://www.instagram.com/reel/DW9xYBdRqu3/,2026-06-19T22:17:15.166Z,5,60
75,DW7dkWmEdP0,p,https://www.instagram.com/thedogist/p/DW7dkWmEdP0/,https://www.instagram.com/p/DW7dkWmEdP0/,2026-06-19T22:17:15.167Z,5,61
76,DW45QQoRZvE,reel,https://www.instagram.com/thedogist/reel/DW45QQoRZvE/,https://www.instagram.com/reel/DW45QQoRZvE/,2026-06-19T22:17:15.167Z,5,62
77,DW4iPKwxOhg,reel,https://www.instagram.com/thedogist/reel/DW4iPKwxOhg/,https://www.instagram.com/reel/DW4iPKwxOhg/,2026-06-19T22:17:15.167Z,5,63
78,DW2KlZZRnr5,reel,https://www.instagram.com/thedogist/reel/DW2KlZZRnr5/,https://www.instagram.com/reel/DW2KlZZRnr5/,2026-06-19T22:17:15.168Z,5,64
79,DWy_c5pRaGr,reel,https://www.instagram.com/thedogist/reel/DWy_c5pRaGr/,https://www.instagram.com/reel/DWy_c5pRaGr/,2026-06-19T22:17:15.168Z,5,65
80,DWwl8UOkTgk,p,https://www.instagram.com/thedogist/p/DWwl8UOkTgk/,https://www.instagram.com/p/DWwl8UOkTgk/,2026-06-19T22:17:15.168Z,5,66
81,DWrw6ICBDkN,reel,https://www.instagram.com/thedogist/reel/DWrw6ICBDkN/,https://www.instagram.com/reel/DWrw6ICBDkN/,2026-06-19T22:17:15.169Z,5,67
82,DWrF_IPkXMe,p,https://www.instagram.com/thedogist/p/DWrF_IPkXMe/,https://www.instagram.com/p/DWrF_IPkXMe/,2026-06-19T22:17:15.169Z,5,68
83,DWopDXaRhM_,reel,https://www.instagram.com/thedogist/reel/DWopDXaRhM_/,https://www.instagram.com/reel/DWopDXaRhM_/,2026-06-19T22:17:15.169Z,5,69
84,DWmMVPaRiie,reel,https://www.instagram.com/thedogist/reel/DWmMVPaRiie/,https://www.instagram.com/reel/DWmMVPaRiie/,2026-06-19T22:17:15.170Z,5,70
85,DWkacU4kfrp,p,https://www.instagram.com/thedogist/p/DWkacU4kfrp/,https://www.instagram.com/p/DWkacU4kfrp/,2026-06-19T22:17:16.777Z,6,61
