position,shortcode,kind,url,canonical_url,discovered_at,discovery_round,visible_index
364,DLQVD-exbuk,reel,https://www.instagram.com/thedogist/reel/DLQVD-exbuk/,https://www.instagram.com/reel/DLQVD-exbuk/,2026-06-19T22:18:00.505Z,33,65
365,DLNk_OARr15,reel,https://www.instagram.com/thedogist/reel/DLNk_OARr15/,https://www.instagram.com/reel/DLNk_OARr15/,2026-06-19T22:18:00.505Z,33,66
366,DLLPoF5RdhP,reel,https://www.instagram.com/thedogist/reel/DLLPoF5RdhP/,https://www.instagram.com/reel/DLLPoF5RdhP/,2026-06-19T22:18:00.505Z,33,67
367,DLKsEuxReQF,p,https://www.instagram.com/thedogist/p/DLKsEuxReQF/,https://www.instagram.com/p/DLKsEuxReQF/,2026-06-19T22:18:00.506Z,33,68
368,DLIznI5xR9i,reel,https://www.instagram.com/thedogist/reel/DLIznI5xR9i/,https://www.instagram.com/reel/DLIznI5xR9i/,2026-06-19T22:18:00.506Z,33,69
369,DLGInbkxZUE,reel,https://www.instagram.com/thedogist/reel/DLGInbkxZUE/,https://www.instagram.com/reel/DLGInbkxZUE/,2026-06-19T22:18:00.507Z,33,70
370,DLD8DE4xxwW,reel,https://www.instagram.com/thedogist/reel/DLD8DE4xxwW/,https://www.instagram.com/reel/DLD8DE4xxwW/,2026-06-19T22:18:00.507Z,33,71
371,DLA8Or_xyPl,reel,https://www.instagram.com/thedogist/reel/DLA8Or_xyPl/,https://www.instagram.com/reel/DLA8Or_xyPl/,2026-06-19T22:18:00.507Z,33,72
372,DK94a9uPb0z,reel,https://www.instagram.com/lauriesantosofficial/reel/DK94a9uPb0z/,https://www.instagram.com/reel/DK94a9uPb0z/,2026-06-19T22:18:00.508Z,33,73
373,DK7kOF1RpfP,reel,https://www.instagram.com/thedogist/reel/DK7kOF1RpfP/,https://www.instagram.com/reel/DK7kOF1RpfP/,2026-06-19T22:18:02.128Z,34,59
374,DK5ZnzyR65F,reel,https://www.instagram.com/thedogist/reel/DK5ZnzyR65F/,https://www.instagram.com/reel/DK5ZnzyR65F/,2026-06-19T22:18:02.130Z,34,60
375,DK2lv-2xKjr,p,https://www.instagram.com/thedogist/p/DK2lv-2xKjr/,https://www.instagram.com/p/DK2lv-2xKjr/,2026-06-19T22:18:02.131Z,34,61
376,DK0L_m5R1Uk,reel,https://www.instagram.com/thedogist/reel/DK0L_m5R1Uk/,https://www.instagram.com/reel/DK0L_m5R1Uk/,2026-06-19T22:18:02.131Z,34,62
377,DKxhpCJRrlF,p,https://www.instagram.com/thedogist/p/DKxhpCJRrlF/,https://www.instagram.com/p/DKxhpCJRrlF/,2026-06-19T22:18:02.132Z,34,63
378,DKxILB1RTj6,p,https://www.instagram.com/thedogist/p/DKxILB1RTj6/,https://www.instagram.com/p/DKxILB1RTj6/,2026-06-19T22:18:02.133Z,34,64
379,DKuv5ijx8kg,p,https://www.instagram.com/thedogist/p/DKuv5ijx8kg/,https://www.instagram.com/p/DKuv5ijx8kg/,2026-06-19T22:18:02.133Z,34,65
380,DKsjH2FR8Nd,reel,https://www.instagram.com/thedogist/reel/DKsjH2FR8Nd/,https://www.instagram.com/reel/DKsjH2FR8Nd/,2026-06-19T22:18:02.134Z,34,66
381,DKr5U74sM4m,reel,https://www.instagram.com/ubereats/reel/DKr5U74sM4m/,https://www.instagram.com/reel/DKr5U74sM4m/,2026-06-19T22:18:02.134Z,34,67
382,DKpqTFqxpeM,reel,https://www.instagram.com/thedogist/reel/DKpqTFqxpeM/,https://www.instagram.com/reel/DKpqTFqxpeM/,2026-06-19T22:18:02.134Z,34,68
383,DKmtK7gxRVA,reel,https://www.instagram.com/thedogist/reel/DKmtK7gxRVA/,https://www.instagram.com/reel/DKmtK7gxRVA/,2026-06-19T22:18:02.135Z,34,69
384,DKk9kPBxrrj,reel,https://www.instagram.com/thedogist/reel/DKk9kPBxrrj/,https://www.instagram.com/reel/DKk9kPBxrrj/,2026-06-19T22:18:02.135Z,34,70
385,DKfR5VAxlna,p,https://www.instagram.com/thedogist/p/DKfR5VAxlna/,https://www.instagram.com/p/DKfR5VAxlna/,2026-06-19T22:18:03.754Z,35,61
386,DKexk5_xg3b,p,https://www.instagram.com/thedogist/p/DKexk5_xg3b/,https://www.instagram.com/p/DKexk5_xg3b/,2026-06-19T22:18:03.755Z,35,62
387,DKejqzCxwh7,p,https://www.instagram.com/thedogist/p/DKejqzCxwh7/,https://www.instagram.com/p/DKejqzCxwh7/,2026-06-19T22:18:03.755Z,35,63
388,DKcChruxzYc,reel,https://www.instagram.com/thedogist/reel/DKcChruxzYc/,https://www.instagram.com/reel/DKcChruxzYc/,2026-06-19T22:18:03.756Z,35,64
389,DKaWzewxUw8,p,https://www.instagram.com/thedogist/p/DKaWzewxUw8/,https://www.instagram.com/p/DKaWzewxUw8/,2026-06-19T22:18:03.756Z,35,65
390,DKYYJEuR1Ih,reel,https://www.instagram.com/thedogist/reel/DKYYJEuR1Ih/,https://www.instagram.com/reel/DKYYJEuR1Ih/,2026-06-19T22:18:03.757Z,35,66
391,DKX0ylZxnRh,reel,https://www.instagram.com/thedogist/reel/DKX0ylZxnRh/,https://www.instagram.com/reel/DKX0ylZxnRh/,2026-06-19T22:18:03.757Z,35,67
392,DKVWo-BR65v,reel,https://www.instagram.com/thedogist/reel/DKVWo-BR65v/,https://www.instagram.com/reel/DKVWo-BR65v/,2026-06-19T22:18:03.757Z,35,68
393,DKUfeloxb3I,reel,https://www.instagram.com/cbssaturday/reel/DKUfeloxb3I/,https://www.instagram.com/reel/DKUfeloxb3I/,2026-06-19T22:18:03.758Z,35,69
394,DKTCOqax-WT,reel,https://www.instagram.com/thedogist/reel/DKTCOqax-WT/,https://www.instagram.com/reel/DKTCOqax-WT/,2026-06-19T22:18:03.758Z,35,70
395,DKQeYiGMG-P,reel,https://www.instagram.com/abcnewslive/reel/DKQeYiGMG-P/,https://www.instagram.com/reel/DKQeYiGMG-P/,2026-06-19T22:18:03.758Z,35,71
396,DKPwtDxRXlm,p,https://www.instagram.com/thedogist/p/DKPwtDxRXlm/,https://www.instagram.com/p/DKPwtDxRXlm/,2026-06-19T22:18:03.759Z,35,72
397,DKNN__FRaSO,reel,https://www.instagram.com/thedogist/reel/DKNN__FRaSO/,https://www.instagram.com/reel/DKNN__FRaSO/,2026-06-19T22:18:05.376Z,36,58
398,DKLuLtStmAe,reel,https://www.instagram.com/thedogist/reel/DKLuLtStmAe/,https://www.instagram.com/reel/DKLuLtStmAe/,2026-06-19T22:18:05.376Z,36,59
399,DKKv2SORM2C,p,https://www.instagram.com/thedogist/p/DKKv2SORM2C/,https://www.instagram.com/p/DKKv2SORM2C/,2026-06-19T22:18:05.377Z,36,60
400,DKIDL_uRvHg,reel,https://www.instagram.com/thedogist/reel/DKIDL_uRvHg/,https://www.instagram.com/reel/DKIDL_uRvHg/,2026-06-19T22:18:05.377Z,36,61
401,DKFo0I2xSzO,p,https://www.instagram.com/thedogist/p/DKFo0I2xSzO/,https://www.instagram.com/p/DKFo0I2xSzO/,2026-06-19T22:18:05.377Z,36,62
402,DKC7kGJxtbf,p,https://www.instagram.com/thedogist/p/DKC7kGJxtbf/,https://www.instagram.com/p/DKC7kGJxtbf/,2026-06-19T22:18:05.377Z,36,63
403,DKAw0wdR6xr,p,https://www.instagram.com/thedogist/p/DKAw0wdR6xr/,https://www.instagram.com/p/DKAw0wdR6xr/,2026-06-19T22:18:05.378Z,36,64
404,DJ97JA7RFBT,reel,https://www.instagram.com/thedogist/reel/DJ97JA7RFBT/,https://www.instagram.com/reel/DJ97JA7RFBT/,2026-06-19T22:18:05.378Z,36,65
405,DJ6-3WCR_OW,reel,https://www.instagram.com/thedogist/reel/DJ6-3WCR_OW/,https://www.instagram.com/reel/DJ6-3WCR_OW/,2026-06-19T22:18:05.378Z,36,66
406,DJ4c1FaRRNE,reel,https://www.instagram.com/thedogist/reel/DJ4c1FaRRNE/,https://www.instagram.com/reel/DJ4c1FaRRNE/,2026-06-19T22:18:05.378Z,36,67
407,DJ2nyDBRr-9,reel,https://www.instagram.com/thedogist/reel/DJ2nyDBRr-9/,https://www.instagram.com/reel/DJ2nyDBRr-9/,2026-06-19T22:18:05.378Z,36,68
408,DJzuid7xYND,reel,https://www.instagram.com/thedogist/reel/DJzuid7xYND/,https://www.instagram.com/reel/DJzuid7xYND/,2026-06-19T22:18:05.378Z,36,69
409,DJw6706xEn9,reel,https://www.instagram.com/thedogist/reel/DJw6706xEn9/,https://www.instagram.com/reel/DJw6706xEn9/,2026-06-19T22:18:06.997Z,37,60
410,DJuggFeRa8a,reel,https://www.instagram.com/thedogist/reel/DJuggFeRa8a/,https://www.instagram.com/reel/DJuggFeRa8a/,2026-06-19T22:18:06.999Z,37,61
411,DJr9rcWR1N9,reel,https://www.instagram.com/thedogist/reel/DJr9rcWR1N9/,https://www.instagram.com/reel/DJr9rcWR1N9/,2026-06-19T22:18:07.000Z,37,62
412,DJp0d7iRH9x,reel,https://www.instagram.com/thedogist/reel/DJp0d7iRH9x/,https://www.instagram.com/reel/DJp0d7iRH9x/,2026-06-19T22:18:07.000Z,37,63
413,DJpmoEZxudw,reel,https://www.instagram.com/thedogist/reel/DJpmoEZxudw/,https://www.instagram.com/reel/DJpmoEZxudw/,2026-06-19T22:18:07.001Z,37,64
414,DJmwOEgxFAP,reel,https://www.instagram.com/thedogist/reel/DJmwOEgxFAP/,https://www.instagram.com/reel/DJmwOEgxFAP/,2026-06-19T22:18:07.001Z,37,65
415,DJkUp37x_Kp,reel,https://www.instagram.com/thedogist/reel/DJkUp37x_Kp/,https://www.instagram.com/reel/DJkUp37x_Kp/,2026-06-19T22:18:07.002Z,37,66
416,DJhCw5_x0jx,reel,https://www.instagram.com/thedogist/reel/DJhCw5_x0jx/,https://www.instagram.com/reel/DJhCw5_x0jx/,2026-06-19T22:18:07.002Z,37,67
417,DJfBBxux0DB,reel,https://www.instagram.com/thedogist/reel/DJfBBxux0DB/,https://www.instagram.com/reel/DJfBBxux0DB/,2026-06-19T22:18:07.003Z,37,68
418,DJcVFiAx-aJ,p,https://www.instagram.com/thedogist/p/DJcVFiAx-aJ/,https://www.instagram.com/p/DJcVFiAx-aJ/,2026-06-19T22:18:07.003Z,37,69
419,DJXtxy0x3Q4,reel,https://www.instagram.com/thedogist/reel/DJXtxy0x3Q4/,https://www.instagram.com/reel/DJXtxy0x3Q4/,2026-06-19T22:18:07.004Z,37,70
420,DJW5ovYRxNh,p,https://www.instagram.com/thedogist/p/DJW5ovYRxNh/,https://www.instagram.com/p/DJW5ovYRxNh/,2026-06-19T22:18:07.004Z,37,71
421,DJU1vxaRTKO,p,https://www.instagram.com/thedogist/p/DJU1vxaRTKO/,https://www.instagram.com/p/DJU1vxaRTKO/,2026-06-19T22:18:10.252Z,39,62
422,DJSGmLKRjFF,p,https://www.instagram.com/thedogist/p/DJSGmLKRjFF/,https://www.instagram.com/p/DJSGmLKRjFF/,2026-06-19T22:18:10.253Z,39,63
423,DJPNVWcRvac,reel,https://www.instagram.com/thedogist/reel/DJPNVWcRvac/,https://www.instagram.com/reel/DJPNVWcRvac/,2026-06-19T22:18:10.254Z,39,64
424,DJMrBr8Rb61,reel,https://www.instagram.com/thedogist/reel/DJMrBr8Rb61/,https://www.instagram.com/reel/DJMrBr8Rb61/,2026-06-19T22:18:10.255Z,39,65
425,DJKcIzHx1zu,reel,https://www.instagram.com/thedogist/reel/DJKcIzHx1zu/,https://www.instagram.com/reel/DJKcIzHx1zu/,2026-06-19T22:18:10.255Z,39,66
426,DJIUz9lxLbU,reel,https://www.instagram.com/thedogist/reel/DJIUz9lxLbU/,https://www.instagram.com/reel/DJIUz9lxLbU/,2026-06-19T22:18:10.256Z,39,67
427,DJH7IPMPmS6,reel,https://www.instagram.com/livenation/reel/DJH7IPMPmS6/,https://www.instagram.com/reel/DJH7IPMPmS6/,2026-06-19T22:18:10.257Z,39,68
428,DJFtnHoRhz6,reel,https://www.instagram.com/thedogist/reel/DJFtnHoRhz6/,https://www.instagram.com/reel/DJFtnHoRhz6/,2026-06-19T22:18:10.257Z,39,69
429,DJE4EuexxZH,reel,https://www.instagram.com/thedogist/reel/DJE4EuexxZH/,https://www.instagram.com/reel/DJE4EuexxZH/,2026-06-19T22:18:10.258Z,39,70
430,DJDCZGDRBmH,reel,https://www.instagram.com/thedogist/reel/DJDCZGDRBmH/,https://www.instagram.com/reel/DJDCZGDRBmH/,2026-06-19T22:18:10.258Z,39,71
431,DJCWXJoxrOF,reel,https://www.instagram.com/thedogist/reel/DJCWXJoxrOF/,https://www.instagram.com/reel/DJCWXJoxrOF/,2026-06-19T22:18:10.259Z,39,72
432,DI_ie4iuKP-,reel,https://www.instagram.com/uber/reel/DI_ie4iuKP-/,https://www.instagram.com/reel/DI_ie4iuKP-/,2026-06-19T22:18:10.259Z,39,73
433,DI9rQsBxzBe,reel,https://www.instagram.com/thedogist/reel/DI9rQsBxzBe/,https://www.instagram.com/reel/DI9rQsBxzBe/,2026-06-19T22:18:11.879Z,40,59
434,DI7cd-MxPqK,reel,https://www.instagram.com/thedogist/reel/DI7cd-MxPqK/,https://www.instagram.com/reel/DI7cd-MxPqK/,2026-06-19T22:18:11.880Z,40,60
435,DI4myR_xw69,reel,https://www.instagram.com/thedogist/reel/DI4myR_xw69/,https://www.instagram.com/reel/DI4myR_xw69/,2026-06-19T22:18:11.880Z,40,61
436,DI2KUs_x9tj,reel,https://www.instagram.com/thedogist/reel/DI2KUs_x9tj/,https://www.instagram.com/reel/DI2KUs_x9tj/,2026-06-19T22:18:11.881Z,40,62
437,DIyxxrTpzCE,reel,https://www.instagram.com/thedogist/reel/DIyxxrTpzCE/,https://www.instagram.com/reel/DIyxxrTpzCE/,2026-06-19T22:18:11.881Z,40,63
438,DIwMbwZRSpx,p,https://www.instagram.com/thedogist/p/DIwMbwZRSpx/,https://www.instagram.com/p/DIwMbwZRSpx/,2026-06-19T22:18:11.881Z,40,64
439,DIuXHnnR_NZ,reel,https://www.instagram.com/thedogist/reel/DIuXHnnR_NZ/,https://www.instagram.com/reel/DIuXHnnR_NZ/,2026-06-19T22:18:11.882Z,40,65
440,DIrks3wRYaU,reel,https://www.instagram.com/thedogist/reel/DIrks3wRYaU/,https://www.instagram.com/reel/DIrks3wRYaU/,2026-06-19T22:18:11.882Z,40,66
441,DIon09Oxdg8,reel,https://www.instagram.com/thedogist/reel/DIon09Oxdg8/,https://www.instagram.com/reel/DIon09Oxdg8/,2026-06-19T22:18:11.882Z,40,67
442,DImAQhtxhcZ,reel,https://www.instagram.com/thedogist/reel/DImAQhtxhcZ/,https://www.instagram.com/reel/DImAQhtxhcZ/,2026-06-19T22:18:11.883Z,40,68
443,DIkG24ZRSNx,reel,https://www.instagram.com/thedogist/reel/DIkG24ZRSNx/,https://www.instagram.com/reel/DIkG24ZRSNx/,2026-06-19T22:18:11.883Z,40,69
444,DIg9UMZx4Ln,p,https://www.instagram.com/thedogist/p/DIg9UMZx4Ln/,https://www.instagram.com/p/DIg9UMZx4Ln/,2026-06-19T22:18:11.883Z,40,70
445,DIekkXNTU-C,reel,https://www.instagram.com/thedogist/reel/DIekkXNTU-C/,https://www.instagram.com/reel/DIekkXNTU-C/,2026-06-19T22:18:13.502Z,41,61
446,DIcG63qRmek,reel,https://www.instagram.com/thedogist/reel/DIcG63qRmek/,https://www.instagram.com/reel/DIcG63qRmek/,2026-06-19T22:18:13.503Z,41,62
447,DIWWj1Ex63L,p,https://www.instagram.com/thedogist/p/DIWWj1Ex63L/,https://www.instagram.com/p/DIWWj1Ex63L/,2026-06-19T22:18:13.503Z,41,63
448,DITqAYeA28U,reel,https://www.instagram.com/uber/reel/DITqAYeA28U/,https://www.instagram.com/reel/DITqAYeA28U/,2026-06-19T22:18:13.503Z,41,64
449,DIPUZvRR75M,reel,https://www.instagram.com/thedogist/reel/DIPUZvRR75M/,https://www.instagram.com/reel/DIPUZvRR75M/,2026-06-19T22:18:13.503Z,41,65
450,DIMBMIdxfmF,reel,https://www.instagram.com/thedogist/reel/DIMBMIdxfmF/,https://www.instagram.com/reel/DIMBMIdxfmF/,2026-06-19T22:18:13.504Z,41,66
451,DIHwhNYRXFG,reel,https://www.instagram.com/thedogist/reel/DIHwhNYRXFG/,https://www.instagram.com/reel/DIHwhNYRXFG/,2026-06-19T22:18:13.504Z,41,67
452,DIFGrP4ROaT,reel,https://www.instagram.com/thedogist/reel/DIFGrP4ROaT/,https://www.instagram.com/reel/DIFGrP4ROaT/,2026-06-19T22:18:13.504Z,41,68
453,DIC9ncLRjNy,reel,https://www.instagram.com/thedogist/reel/DIC9ncLRjNy/,https://www.instagram.com/reel/DIC9ncLRjNy/,2026-06-19T22:18:13.504Z,41,69
454,DICks87Riue,reel,https://www.instagram.com/thedogist/reel/DICks87Riue/,https://www.instagram.com/reel/DICks87Riue/,2026-06-19T22:18:13.505Z,41,70
455,DH_694XxeUL,reel,https://www.instagram.com/thedogist/reel/DH_694XxeUL/,https://www.instagram.com/reel/DH_694XxeUL/,2026-06-19T22:18:13.505Z,41,71
456,DH8tr3aRwQV,reel,https://www.instagram.com/thedogist/reel/DH8tr3aRwQV/,https://www.instagram.com/reel/DH8tr3aRwQV/,2026-06-19T22:18:13.505Z,41,72
457,DH6lnJbRx71,reel,https://www.instagram.com/thedogist/reel/DH6lnJbRx71/,https://www.instagram.com/reel/DH6lnJbRx71/,2026-06-19T22:18:15.120Z,42,58
458,DH3q5c9R-H6,reel,https://www.instagram.com/thedogist/reel/DH3q5c9R-H6/,https://www.instagram.com/reel/DH3q5c9R-H6/,2026-06-19T22:18:15.120Z,42,59
459,DHzM9VaRpIw,reel,https://www.instagram.com/thedogist/reel/DHzM9VaRpIw/,https://www.instagram.com/reel/DHzM9VaRpIw/,2026-06-19T22:18:15.121Z,42,60
460,DHwjgvuR4EU,reel,https://www.instagram.com/thedogist/reel/DHwjgvuR4EU/,https://www.instagram.com/reel/DHwjgvuR4EU/,2026-06-19T22:18:15.121Z,42,61
461,DHuDReyRGF0,reel,https://www.instagram.com/thedogist/reel/DHuDReyRGF0/,https://www.instagram.com/reel/DHuDReyRGF0/,2026-06-19T22:18:15.121Z,42,62
462,DHri0eDRlk2,reel,https://www.instagram.com/thedogist/reel/DHri0eDRlk2/,https://www.instagram.com/reel/DHri0eDRlk2/,2026-06-19T22:18:15.121Z,42,63
463,DHo4FZYxg5Z,reel,https://www.instagram.com/thedogist/reel/DHo4FZYxg5Z/,https://www.instagram.com/reel/DHo4FZYxg5Z/,2026-06-19T22:18:15.121Z,42,64
464,DHmeNPJRHAs,reel,https://www.instagram.com/thedogist/reel/DHmeNPJRHAs/,https://www.instagram.com/reel/DHmeNPJRHAs/,2026-06-19T22:18:15.122Z,42,65
465,DHjkcMZxwCl,reel,https://www.instagram.com/thedogist/reel/DHjkcMZxwCl/,https://www.instagram.com/reel/DHjkcMZxwCl/,2026-06-19T22:18:15.122Z,42,66
466,DHhLFVVxwuk,reel,https://www.instagram.com/thedogist/reel/DHhLFVVxwuk/,https://www.instagram.com/reel/DHhLFVVxwuk/,2026-06-19T22:18:15.122Z,42,67
467,DHelpwxRc0_,p,https://www.instagram.com/thedogist/p/DHelpwxRc0_/,https://www.instagram.com/p/DHelpwxRc0_/,2026-06-19T22:18:15.122Z,42,68
468,DHbXfaxgqzY,reel,https://www.instagram.com/thedogist/reel/DHbXfaxgqzY/,https://www.instagram.com/reel/DHbXfaxgqzY/,2026-06-19T22:18:15.122Z,42,69
469,DHZYrpZxzwa,reel,https://www.instagram.com/thedogist/reel/DHZYrpZxzwa/,https://www.instagram.com/reel/DHZYrpZxzwa/,2026-06-19T22:18:16.736Z,43,60
470,DHW0uF0R4rB,reel,https://www.instagram.com/thedogist/reel/DHW0uF0R4rB/,https://www.instagram.com/reel/DHW0uF0R4rB/,2026-06-19T22:18:16.738Z,43,61
471,DHUP1w0Rk3X,reel,https://www.instagram.com/thedogist/reel/DHUP1w0Rk3X/,https://www.instagram.com/reel/DHUP1w0Rk3X/,2026-06-19T22:18:16.739Z,43,62
472,DHRsY1UR4xT,reel,https://www.instagram.com/thedogist/reel/DHRsY1UR4xT/,https://www.instagram.com/reel/DHRsY1UR4xT/,2026-06-19T22:18:16.739Z,43,63
473,DHPJ-YMRV3Y,reel,https://www.instagram.com/thedogist/reel/DHPJ-YMRV3Y/,https://www.instagram.com/reel/DHPJ-YMRV3Y/,2026-06-19T22:18:16.740Z,43,64
474,DHMVPYJRGYA,reel,https://www.instagram.com/thedogist/reel/DHMVPYJRGYA/,https://www.instagram.com/reel/DHMVPYJRGYA/,2026-06-19T22:18:16.740Z,43,65
475,DHJ-D-tRGa1,reel,https://www.instagram.com/thedogist/reel/DHJ-D-tRGa1/,https://www.instagram.com/reel/DHJ-D-tRGa1/,2026-06-19T22:18:16.741Z,43,66
476,DHHEhdTRzev,reel,https://www.instagram.com/thedogist/reel/DHHEhdTRzev/,https://www.instagram.com/reel/DHHEhdTRzev/,2026-06-19T22:18:16.742Z,43,67
477,DHEJ3_exUE-,p,https://www.instagram.com/thedogist/p/DHEJ3_exUE-/,https://www.instagram.com/p/DHEJ3_exUE-/,2026-06-19T22:18:16.743Z,43,68
478,DG8zw05RLKA,p,https://www.instagram.com/thedogist/p/DG8zw05RLKA/,https://www.instagram.com/p/DG8zw05RLKA/,2026-06-19T22:18:16.743Z,43,69
479,DG6QJ7BR54-,p,https://www.instagram.com/thedogist/p/DG6QJ7BR54-/,https://www.instagram.com/p/DG6QJ7BR54-/,2026-06-19T22:18:16.744Z,43,70
480,DG33R-URL8F,p,https://www.instagram.com/thedogist/p/DG33R-URL8F/,https://www.instagram.com/p/DG33R-URL8F/,2026-06-19T22:18:16.744Z,43,71
481,DGtaHA3xBQI,reel,https://www.instagram.com/thedogist/reel/DGtaHA3xBQI/,https://www.instagram.com/reel/DGtaHA3xBQI/,2026-06-19T22:18:18.367Z,44,62
482,DGoOpPlRUxJ,reel,https://www.instagram.com/thedogist/reel/DGoOpPlRUxJ/,https://www.instagram.com/reel/DGoOpPlRUxJ/,2026-06-19T22:18:18.369Z,44,63
483,DGi_UFjxlMJ,p,https://www.instagram.com/thedogist/p/DGi_UFjxlMJ/,https://www.instagram.com/p/DGi_UFjxlMJ/,2026-06-19T22:18:18.369Z,44,64
484,DGd4HarRHHB,reel,https://www.instagram.com/thedogist/reel/DGd4HarRHHB/,https://www.instagram.com/reel/DGd4HarRHHB/,2026-06-19T22:18:18.370Z,44,65
485,DGbao-uxWGg,p,https://www.instagram.com/thedogist/p/DGbao-uxWGg/,https://www.instagram.com/p/DGbao-uxWGg/,2026-06-19T22:18:18.370Z,44,66
486,DGYyq_vxgel,reel,https://www.instagram.com/thedogist/reel/DGYyq_vxgel/,https://www.instagram.com/reel/DGYyq_vxgel/,2026-06-19T22:18:18.370Z,44,67
487,DGWftJRRhOp,reel,https://www.instagram.com/thedogist/reel/DGWftJRRhOp/,https://www.instagram.com/reel/DGWftJRRhOp/,2026-06-19T22:18:18.371Z,44,68
488,DGT0W0oRJ-E,p,https://www.instagram.com/thedogist/p/DGT0W0oRJ-E/,https://www.instagram.com/p/DGT0W0oRJ-E/,2026-06-19T22:18:18.371Z,44,69
489,DGRJKXOxY_2,p,https://www.instagram.com/thedogist/p/DGRJKXOxY_2/,https://www.instagram.com/p/DGRJKXOxY_2/,2026-06-19T22:18:18.371Z,44,70
490,DGOfy-exDuR,p,https://www.instagram.com/thedogist/p/DGOfy-exDuR/,https://www.instagram.com/p/DGOfy-exDuR/,2026-06-19T22:18:18.372Z,44,71
491,DGMOAQAx1Gv,p,https://www.instagram.com/thedogist/p/DGMOAQAx1Gv/,https://www.instagram.com/p/DGMOAQAx1Gv/,2026-06-19T22:18:18.372Z,44,72
492,DGJpvpExffK,p,https://www.instagram.com/thedogist/p/DGJpvpExffK/,https://www.instagram.com/p/DGJpvpExffK/,2026-06-19T22:18:18.372Z,44,73
493,DGHCmIPxDfN,p,https://www.instagram.com/thedogist/p/DGHCmIPxDfN/,https://www.instagram.com/p/DGHCmIPxDfN/,2026-06-19T22:18:19.994Z,45,59
494,DGEbFlFR8Ui,reel,https://www.instagram.com/thedogist/reel/DGEbFlFR8Ui/,https://www.instagram.com/reel/DGEbFlFR8Ui/,2026-06-19T22:18:19.995Z,45,60
495,DGBlPo-xmYW,reel,https://www.instagram.com/thedogist/reel/DGBlPo-xmYW/,https://www.instagram.com/reel/DGBlPo-xmYW/,2026-06-19T22:18:19.995Z,45,61
496,DF_Cn7MxYYF,reel,https://www.instagram.com/thedogist/reel/DF_Cn7MxYYF/,https://www.instagram.com/reel/DF_Cn7MxYYF/,2026-06-19T22:18:19.996Z,45,62
497,DF8_KfyRJLC,reel,https://www.instagram.com/thedogist/reel/DF8_KfyRJLC/,https://www.instagram.com/reel/DF8_KfyRJLC/,2026-06-19T22:18:19.996Z,45,63
498,DF8kmNYxgXB,reel,https://www.instagram.com/thedogist/reel/DF8kmNYxgXB/,https://www.instagram.com/reel/DF8kmNYxgXB/,2026-06-19T22:18:19.996Z,45,64
499,DF6E8yKRgZD,reel,https://www.instagram.com/thedogist/reel/DF6E8yKRgZD/,https://www.instagram.com/reel/DF6E8yKRgZD/,2026-06-19T22:18:19.997Z,45,65
500,DF3IBHfRAqb,reel,https://www.instagram.com/thedogist/reel/DF3IBHfRAqb/,https://www.instagram.com/reel/DF3IBHfRAqb/,2026-06-19T22:18:19.997Z,45,66
501,DF03Srcxe7M,reel,https://www.instagram.com/thedogist/reel/DF03Srcxe7M/,https://www.instagram.com/reel/DF03Srcxe7M/,2026-06-19T22:18:19.997Z,45,67
502,DFyQVSRx3u9,reel,https://www.instagram.com/thedogist/reel/DFyQVSRx3u9/,https://www.instagram.com/reel/DFyQVSRx3u9/,2026-06-19T22:18:19.998Z,45,68
503,DFvgerGRrpb,p,https://www.instagram.com/thedogist/p/DFvgerGRrpb/,https://www.instagram.com/p/DFvgerGRrpb/,2026-06-19T22:18:19.998Z,45,69
504,DFs6VkTxk9B,reel,https://www.instagram.com/thedogist/reel/DFs6VkTxk9B/,https://www.instagram.com/reel/DFs6VkTxk9B/,2026-06-19T22:18:19.998Z,45,70
505,DFqNVgIRakG,p,https://www.instagram.com/thedogist/p/DFqNVgIRakG/,https://www.instagram.com/p/DFqNVgIRakG/,2026-06-19T22:18:21.621Z,46,61
506,DFnyLCDRowl,reel,https://www.instagram.com/thedogist/reel/DFnyLCDRowl/,https://www.instagram.com/reel/DFnyLCDRowl/,2026-06-19T22:18:21.623Z,46,62
507,DFlX41txC9V,reel,https://www.instagram.com/thedogist/reel/DFlX41txC9V/,https://www.instagram.com/reel/DFlX41txC9V/,2026-06-19T22:18:21.624Z,46,63
508,DFivjcPxS8T,reel,https://www.instagram.com/thedogist/reel/DFivjcPxS8T/,https://www.instagram.com/reel/DFivjcPxS8T/,2026-06-19T22:18:21.625Z,46,64
509,DFgLMxzR-Yr,reel,https://www.instagram.com/thedogist/reel/DFgLMxzR-Yr/,https://www.instagram.com/reel/DFgLMxzR-Yr/,2026-06-19T22:18:21.625Z,46,65
510,DFd51qwRZ4O,reel,https://www.instagram.com/thedogist/reel/DFd51qwRZ4O/,https://www.instagram.com/reel/DFd51qwRZ4O/,2026-06-19T22:18:21.626Z,46,66
511,DFdeWcQxrRW,reel,https://www.instagram.com/thedogist/reel/DFdeWcQxrRW/,https://www.instagram.com/reel/DFdeWcQxrRW/,2026-06-19T22:18:21.626Z,46,67
512,DFazGBdxD9L,p,https://www.instagram.com/thedogist/p/DFazGBdxD9L/,https://www.instagram.com/p/DFazGBdxD9L/,2026-06-19T22:18:21.626Z,46,68
